"cle","summery"
"ah0016","biologist turned data scientist i am a recent computer science graduate with an extensive background in biology. i bring solid experience in academic research, critical thinking, technical communication, scientific writing combined with discipline and attention to detail. i see an added value in the vision that cross-field knowledge and experience can bring. in my most recent training, i   ve acquired a set of core competences and skills for software development and data science. being a determined, curious and goal-oriented individual i am looking for the environment that can provide mentorship and opportunities to sustain my drive to succeed."
"ah0017","computer science engineering graduate. skilled in machine learning and data science using python, r, tableau, and sql. as an entry level data scientist i aspire to build models that translate data points into business insights and also eager to use my skills and apply the same knowledge to real-world problems.  i want to expand my technical skills by working in an organisation with an opportunity in the data science domain."
"ah0018","data scientist at aig , master's in data analytics from dublin business school languages   c , c++ , python , r data visualization   power bi , tableau. rpa tool  ui path database  mysql  operations  anti money laundering, screening, sanctions."
"ah0019","data scientist with a demonstrated history of working in the information technology and services industry. skilled in machine learning, statistics, databases, python, etc. bachelor   s degree with honors in applied mathematics ,data science concentration, from university of california, berkeley."
"ah0020","machine learning and deep learning enthusiast with a passion for turning structured/unstructured data into actionable insights that helps in making better informed and data-driven decisions.  i enjoy working with data      data exploration, feature engineering, creating and fine-tuning models, predicting and finding insights."
"ah0021","i'm currently a junior data scientist at massmutual.  i was a mathematics and data analytics double major with a minor in economics and an actuarial science focus at denison university, graduated in may 2019.  , technical skills   r, python, sql, sas, stata, excel vba, tableau, google analytics, github, mathematica, latex, bloomberg"
"ah0022","i am passionate about using data science to improve marketing outcomes, with the goal of maximizing customer retention and optimizing the profitability of both online and offline marketing initiatives.  as former and current supervisors, co-workers and classmates will attest, i am self-motivated, have a relentless growth mindset, and while detail-oriented, consistently strive to look at the big picture. these traits have helped me to carry out sound, business-relevant projects, and to remain ahead of the curve in this quickly changing field."
"ah0023","my experiential learning journey started as an intern  informatica for 6 months, where i worked on sales order data mart with descriptive and predictive data mining using fp-growth and naive bayes classifier.  , following which i worked as a systems software engineer  infinera for 4 years. i worked on chassis simulator platform, which taught me to shoulder various software development life cycle responsibilities and helped me groom as an all-around software engineer.  , with a passion to create a difference in the education field, i pursued my masters in computer science  usc, to gain knowledge on ai, data mining, machine learning, nlp, web technologies and information integration on web.  , in summer 2016, i realized my baby step contribution towards my passion in edtech"
"ah0024","a highly versatile and energetic data scientist that's knowledgeable in big data, machine learning, predictive modeling and curiously learning the latest skillsets to stay up to date in the data science field.   technical skills   - python, html, css, javascript, django, jupyter labs - pandas, numpy, matplotlib, scikit-learn, spacy, keras, tensorflow"
"ah0025","data scientist , machine learning engineer , i'm a junior data scientist at the mgm-owned premium tv network, epix. being part of the data science team, i work closely with developers, product managers as well as the engagement team, use data science tools to uncover valuable insights as well as deliver better products, and report to the management board for advanced decision-making. my skill set includes database management, business intelligence, predictive modeling, machine learning, and natural language processing."
"ah0026","i am a data science professional with eight years' experience identifying patterns in large and complex data. i am well-versed in machine learning techniques and more traditional statistical methods, especially pertaining to time series. i have worked both directly for technology firms and as a consultant to government agencies and private enterprises. i enjoy working with small, diverse groups to carry out the data science process from conception through delivery."
"ah0027","when you have mastered numbers, you will in fact no longer be reading numbers, any more than you read words when reading books. you will be reading meanings. behind every successful business lies its ability to make critical decisions and a business can come along when it   s decisions are bolstered with well-founded insights and data  to further augment my knowledge in this domain, i have completed my master   s in data management at the illinois institute of technology, chicago with a concentration in data analytics/data science.  currently working as data analyst at walgreens.  with the desire and passion to explore and extract patterns in data, i have been working on python and r and been exploring various data analysis tools and packages.  competencies   data mining, python, r, java, sql, mysql, tableau"
"ah0028","self-motivated.  life-long learner. data is everywhere, turn into actionable insight.  learn implement teach  a passionate and determined person who can adapt to any environment where projects involving different types of data, platforms, and techniques.harshithas8,"
"ah0029","area of interests include big data engineering, database design and  machine learning. a data science and computer science ms graduate with interests in  machine learning, big data and statistical analysis.  seeking full time opportunities  assisting  a company turning data into actionable insights.   skills   - languages   python, r, matlab, java/scala, javascript, html, css - machine learning techniques   supervised, unsupervised, neural networks, deep learning, regression, clustering, random forests etc. - databases and big data tools   mysql"
"ah0030","technology enthusiast with good exposure in c++, python, data structures, algorithms, machine learning and deep learning.  passionate towards utilizing data science, machine learning, and big data techniques to solve real life business problems"
"ah0031","experienced data scientist with a demonstrated history of working in the defense and space industry. skilled in java, microsoft excel, c ,programming language,, field-programmable gate arrays ,fpga,, and talent management. strong engineering professional with a bachelor of technology focused in electronics and instrumentation engineering from sree vidyanikethan engineering college."
"ah0032","hi, my name is emily schoof   competencies   python, sql, command line, bigquery, mysql, postgis, statistics, numpy, matplotlib, seaborn, random forest classifier, linear regression"
"ah0033","computer vision and machine learning enthusiast. experienced data scientist with a demonstrated history of working in the information technology and services industry. skilled in interpreting data, data science, java, data analytics, and sql. strong engineering professional with a post graduation focused in business analytics from international institute of digital technologies."
"ah0034","scientist with hands-on experience applying machine learning, deep learning, and other statistical techniques to solve business problems in various business verticals like sales, marketing, operations, etc by leveraging vast structured and unstructured data sources.  experience leading and mentoring other data scientists as well as facilitating coordination between various teams to drive projects from ideation to deployment and beyond.  creator of virtual office hours "
"ah0035","data enthusiast with strong analytical, creative and communication skills, along with a background in business development and finance. proficient at drawing actionable insights from large data sets using tools such as python, r and tableau.  technologies   python , sql , tableau , scala , spark , r , jupyter notebook , github , excel , google sheets , looker  skills   supervised and unsupervised machine learning , predictive modeling , data visualization , explanatory and exploratory data analysis , natural language processing  r libraries   dplyr , tidyr , knitr , magrittr , plotly , ggplot2 , r markdown   python libraries   pandas , numpy , scipy , matplotlib , seaborn , scikit-learn , natural language toolkit , beautiful soup , tweepy , praw , keras , tensorflow  o/s   windows , mac , linux ubuntu,"
"ah0036","i have fun predicting what the future will look and feel like, and i   m interested in companies that want to change it. i'm skilled at interfacing between people and computers. i can translate what code is doing into something intelligible by most humans, and can move backwards from english to bits. i learn quickly, adapting to the needs of my team and the skills demanded by my role.  skills, tools i've worked with, buzzwords    python, sql, redshift, aws, pandas, sklearn, machine learning, jupyter"
"ah0037","i am a recent graduate from uc berkeley with a degree in applied mathematics and a focus on statistics. i am interested in data analysis and statistical machine learning, as well as data visualization. i am a competitive chess player and tennis player and am passionate about their logical intersection   sports analytics."
"ah0038","experienced data analyst with a demonstrated history of working in the computer software industry. skilled in analytical skills, data science, ai, microsoft office, computer science, data warehousing, python, r, excel and sql. strong information technology professional with a master of science focused in computer science with specialization in data analytics from indian institute of information technology and management-kerala,iiitm-k,."
"ah0039","physics taught me that you can't passively observe the universe and hope to get anywhere -- you have to actively engage with it, scrutinizing every detail to learn the underlying story of what drives it forward.  the dynamic nature of physics is what makes it fun for me   you should never be ok with i don't know.  data science works in the same paradigm which is what drives me to start my career as a data scientist. when i'm not working i enjoy morning runs listening to geopolitics podcasts or relieving stress in the gym, exploring new topics or ideas on the internet, or engrossing myself in a new netflix series or video game.  key words   data science, machine learning ,ml,, python, statistical analysis, physics, data analysis, business intelligence, predictive modeling, scala, neural networks"
"ah0040","having three years of experience in the industry and a background in applied mathematics, i am part of the ms in data science program at columbia university. after a fantastic summer internship at airbnb, i will graduate this december ,2019,, and soon i will be starting a new exciting position in california.  my primary interest is to understand human behavior through data. to achieve this, i use my substantial experience in advanced statistics and my knowledge of machine learning.  however, information is useless if it does not drive action. consequently, i enjoy presenting my results to broad technical and non-technical audiences, with the conviction of improving any decision-making process."
"ah0041","solution-driven data scientist with strong statistical and financial background and over 2 years of experience in data processing and cleaning, using predictive modeling and data mining algorithms to solve challenging business problems. skilled in python and core libraries ,numpy, scipy, pandas, matplotlib/seaborn, scikit-learn etc.,, sql, and data visualization tools such as tableau. strong organizational, project, and time management skills."
"ah0042","seeking a data scientist position with significant project experiences in various areas. including machine learning, data engineering, data mining, and data visualization. extensive experience in data science, mathematics, and statistics. solid programming skills in r, sql, python, spark and etc."
"ah0043","gold medalist from nit, raipur and having 3+ years is seeking a full-time  position in an organization, where i will get the opportunity to work under the guidance of top- notch  professionals enhancing my knowledge and allowing me to come up with tangible results. my area of interest primarily lies in the field of machine learning,data analytics.  - programming languages   python,r - operating systems   windows, linux - skills   nlp, deep learning,"
"ah0044","experienced data scientist.  track record of developing and deploying operational analytics in the military and industry. skilled in statistical and analytic programming, systems engineering, life cycle cost analysis, operational planning. formally educated engineering professional with a  ph.d. from stanford's management science and engineering department and a master of science in industrial and systems engineering from the university of washington.  all of the opinions i express here are my own and do not constitute endorsement or consent of the united states army.isaacfab00"
"ah0045","i am a data scientist. i am enthusiastic about machine learning and natural language processing. my goal is to be a principal data scientist in next 3-5 years. i not only emphasize on knowing more about machine learning but also statistics, some aspects of data engineering and efficient use of data structures and algorithms which is the most essential cornerstone of my job."
"ah0046","experienced and results-oriented technical professional and thought leader specialized in machine learning development, deployment, and integration centered around pipeline optimization. skilled in solutions engineering and architecting, data engineering and science, software and systems lifecycle development, management, and orchestration. a trusted advisor to higher level management on opportunity reviews, competitive strategy development, sales and product objective and direction."
"ah0047","by trade and by passion, i am a data scientist, an educator, and a consultant. these roles enable me to do what i love to do   empower others.  professionally, i teach data science with general assembly and am a managing partner with a consultancy. in these roles, i work tirelessly to share with others the tools and the knowledge to effectively and accurately leverage the wealth of data and technology at our fingertips.  i was raised with the ideal that service to others is among the most important things a person can do. from mentoring students seeking their path to assisting global non-profits through statistics without borders, i volunteer in an attempt to pay forward some of the exceptional mentoring and support i have received over the years.matthewbrems,"
"ah0048","project experience with the following machine learning/data mining algorithms   regularized regression, logistic regression, knn, random forest, naive bayes, support vector machines, sentiment analysis,  k-means clustering, gbdt, ffm, etc.  -strong hands-on skills in    r, python, sql, stata"
"ah0049","i am a math and data science major at cal poly with a passion for finance, data science, and entrepreneurship.   please feel free to reach out to me for any inquiries through linkedin ,"
"ah0050","i am a data scientist with a background in architecture and urbanism.  my current motivation is to use data to provide actionable insights into the planet's complex ecosystem of problems.  check out my data projects on medium, published in towards data science  "
"ah0051","i developed over 15 architectural and urban design projects in a range of scales and sites from individual buildings in the united states and europe to urban master plans in asia and the middle-east as an architect at rem koolhaas    oma.  my phd research at the royal danish academy of the arts focused on analysis and projections of the recent international transformation of rural regions in terms of de-population, demographic shifts, and new modes of temporary living and networked working.   skills include but are not limited to   -python -sql -nosql -machine learning ,regression and classification models, -unsupervised learning -nlp,"
"ah0052","skilled data scientist that understands the business value and also the mathematics behind implementing machine learning/deep learning models. i've used machine learning for decision making, assessing risk, statistical modeling, assessing performance, adding value to companies and my personal investments."
"ah0053","data scientist with eight years of experience in structured energy finance. proficient in transforming data into optimized business decisions.  technical skills   python   pandas, numpy, scipy, scikit-learn, matplotlib, nltk, spacy, re, selenium sql/nosql   sqlite, postgres, mongodb machine learning   supervised learning, unsupervised learning, neural networks systems   git, aws"
"ah0054","j2 visa holder with a valid employment authorization in the us. visa sponsorship is not required in the us.  i have a phd in physics plus 3 years of industry experience as a data scientist, amounting to 7+ years of data-related work. i had a key role in the international expansion of neoway by managing projects with us customers. also, i mentored data science master's students on randd projects in nlp, as part of the university of columbia's industry affiliates program."
"ah0055","learn end to end data science. i have exhausted the number of connections i can possibly have. working as a junior data scientist and collaborating with various teams and individuals across sherwin williams. my strengths lie in data analysis, computer programming, discrete event simulation ,des,, and partnering with subject matter experts to solve problems. i work mainly in r and netezza, but am familiar with python, javascript, and html/css development.  i am interested in new and emerging technologies and dlts like blockchain and using data to optimize a company's internal or external operations."
"ah0056","as a data enthusiast, i am deeply excited by the impact data mining and machine learning will have in solving previously realizable deep-rooted business problems. i want to be part of the revolution that is going to redefine how companies leverage data to provide never imagined extraordinarily personalized services and products.  the learning opportunity while building data products using statistics, big data and supporting technical infrastructure is what keeps me motivated.   recent data science projects   project 1   classifying youtube videos based on textual data and statistics   ,goal   classification of youtube videos based on their comments and statistics. "
"ah0057","self-motivated data scientist proficient in python and r, with an academic background in mathematics and secondary education. professional experience includes four years as an account and sales manager in the interior design industry in sydney ia  u.s. department of commerce, bureau of the census as a junior analyst for census 2010."
"ah0058","a focused, dedicated, self-motivated engineer working his way increasing his skills  experienced as a data scientist with a demonstrated history of working in the information technology and services industry. skilled in python , r , machine learning ,  data analysis and visualization technique, cognos and statistics . strong engineering professional with a bachelor of technology ,b.tech., focused in computer science from kamla nehru institute of technolgy."
"ah0059","m.s. in data science program graduated from st. johns university. seeking an opportunity in data science or business analysis field. experienced with programming languages   sql/mysql,etl,, python,numpy, pandas, nltk, scikit-learn,, r, vba. proficient with excel,v-lookup, pivot table..., and tableau. excellent skills in data extraction and transformation, database manipulation, web data mining, data visualization, talented with creating predictive models,regression, classification"
"ah0060","proficient in using python and r to analyze data and build machine learning models. good at sql, hadoop, hive and spark. familiar with java and object-oriented programming. currently looking for internship or full-time job in data analytics  and machine learning. "
"ah0061","dj patil has held a variety of roles in academia, industry, and government.   he is head of technology for devoted health, a senior fellow at the belfer center at the harvard kennedy school, and an advisor to venrock partners.  dr. patil was appointed by president obama to be the first u.s. chief data scientist where his efforts led to the establishment of nearly 40 chief data officer roles across the federal government. he also established new health care programs including the precision medicine initiative and the cancer moonshot, new criminal justice reforms including the data-driven justice and police data initiatives that cover more than 94 million americans, as well as leading the national data efforts. he also has been active in national security and for his efforts was awarded by secretary carter the department of defense medal for distinguished public service which the highest honor the department bestows on a civilian.   in industry, he led the product teams at relateiq which was acquired by salesforce, was founding board member for crisis text line which works to use new technologies to provide on demand mental and crisis support, and was a member of the venture firm greylock partners. he has also was chief scientist, chief security officer and head of analytics and data product teams at the linkedin corporation where he co-coined the term data scientist. he has also held a number of roles at skype, paypal, and ebay.    as a member of the faculty at the university of maryland, his research focused on nonlinear dynamics and chaos theory and he helped start a major research initiative on numerical weather prediction.  as an aaas science and technology policy fellow for the department of defense"
"ah0062","currently working with data across various domains, focusing primarily on ease of interpretability of data using tools such as power bi and tableau. indulging in the study of using the data for generating actionable insights and solve various business solutions."
"ah0063","data scientist, machine learning specialist with experience in both programming and data mining. expertise in predictive analysis and identifying and solving business related problems.  former student - athlete and i live by one simple rule. give 100% effort or don't do it at all. this personal promise has changed my life and has taught me that passion ultimately drives my goals.mattevanoff24,"
"ah0064","as a bioinformatics data scientist at greenlight biosciences,  i employ data science and machine learning techniques for the integrative analysis of next generation sequencing data using high-throughput methods. i enjoy answering compelling questions to enable discovery and novel insights from big data.  i am a certified data science instructor at carpentries and datacamp. in addition to teaching data science and programming, i also teach software technologies such as git, docker, and singularity.upendra_35,"
"ah0065","tableau desktop qualified associate, dell emc data science associate and a certified scrum product owner.  , currently working on implementing natural language processing in the finance sector."
"ah0066","a data scientist and software engineer with 4+ years' industry experience in devops, data pipelines, and analytics. passionate in assisting a company turning data into actionable insights.   skills   - languages   python, r, matlab, c, c++, java, javascript, html, css - machine learning techniques   supervised, unsupervised, neural networks"
"ah0067","experienced business analyst with a demonstrated history of working in the management consulting industry. strong business development professional with a bachelor of engineering ,be, focused in computer engineering.  skills   languages   r, python, sql, matlab, c, c++, c , java   databases   oracle 11g, teradata, microsoft sql server, hadoop, ms access, mongodb  tools   tableau"
"ah0068","graduated from a double master's degree in computer science between my engineer school in angers, france and the illinois institute of technology in chicago, usa. i have specifically designed my studies and experience to not only to develop my quantitative skills but also to challenge myself to become an expert in data science.  i'm a self-motivated engineer who turned data scientist with an insatiable curiosity for all things   tech, data, iot, machine learning, deep learning. i have the ability to design analytics solutions from the ground up, with expertise in a range of data products, machine learning techniques, and software development concepts. i am able to leverage a fair dose of statistics and mathematics.  machine learning   feature engineering, classification methods ,random forest, xgboost, logistic regression"
"ah0069","hi, i am vyjayanthi but i also go by vj!  right out of college, with a bachelor's degree in it, i knew i wanted to continue working with technology but not in the web tech/software engineering domain. i started with product analytics and management at a software company. one of my key achievements here was using data driven decisions to make business recommendations towards the redesign of my product. these recommendations helped the company in increasing the user base for the product. this solely happened because i am someone who has the skills to deep-dive into the product not only from the corporate business side but also from the customer perspective. i am adept in identifying pain points from a user point of view. this is precisely when i realised i can leverage data, which is present in any and all industries, tap into insights that weren't explored before and benefit not only the company, but the consumer as well. a couple of experiences later, i am now a proud master's graduate from the university of maryland - go terps! - looking to leverage my skills in an industry and company that is not only focused on their corporate standing but also the social good of the community. that is who i want to work for.  i am also dedicated to continued learning/education. with the evolution of technology, it is vital to stay at the forefront of that advancement. as a by-product of this belief, i hold an online nano-degree in predictive business analytics.  apart from my academics and career, i like to read ,crime, mystery - agatha christie is my  1, and travel ,i'm fortunate enough to have visited over 10 countries,.  tech capabilities   r, sql, python"
"ah0070","working to make your data tell a story!!  graduated from nit raipur in 2018, i am currently working as an associate data scientist at datametica on machine learning, data analysis, deep learning, nlp and image processing projects."
"ah0071","self-motivated machine learning engineer, master   s in statistics , ds at columbia university with 2 years of ml and dl experience, skilled and experienced in statistical modeling and tests, ml, dl, web scraping, nlp, web development, bioinformatics and databases."
"ah0072","i have more than seven years of progressive data science and machine learning expertise, having spearheaded myriad data analyses from the ground up across numerous organizations, most notably spanning the following industries   law, financial technology, insurance technology, and education.  the common theme across my direct work with attorneys, cfo, cro, cto and cdo has been deriving highly impactful and results-oriented actionable business insights from data, as a senior data scientist.   for example, i helped numerous lawyers at ogletree deakins in estimating total liability exposure for clients associated with several multi-million-dollar, class-action lawsuits. in those 4 years, i also invented proprietary monte carlo simulation to predict the settlement value of multi-millions class action lawsuit - a first in the legal profession"
"ah0073","data science manager, lastly at wayfair, launching the seo data science initiative to improve webpage rankings organically. formerly a director at a hedge fund where i specialized in clo tranche investments. over the years i have enjoyed mentoring junior staff and leading teams of data scientists, quantitative analysts, developers and data providers in france, the usa and india on extensive modeling projects.   i studied mathematics and physics at leading french universities and attended mit on a research exchange program during my master's degree at mines paristech. i graduated with an mba from harvard business school where i focused on economics and finance and a ms in data science from ensae. i am a native citizen of the european union and the usa."
"ah0074","working as a data scientist at walmart labs. graduate student of business analytics at university of texas at dallas. bachelor in computer engineering from vishwakarma institute of technology, pune, india. former junior data scientist at cybage software private limited for two years. i strongly believe in data driven decisions."
"ah0075","resourceful, multifaceted water resources engineer turned data geek on a mission to make meaningful contributions in any way i can. with my grit and my unrelenting commitment to making a difference, i welcome every challenge that comes my way enthusiastically.  having had the privilege to study, intern, volunteer, and work in seven different countries, i have been fortunate to learn from some of the brightest minds around the world. through these experiences, i have acquired invaluable technical skills and developed swift adaptability to effectively collaborate with high-performing, cross-cultural teams.  my insatiable curiosity and self-teaching skills make me uniquely positioned to identify opportunities for innovation geared towards maximizing added value in different situations. passionate about machine learning and working towards goals that have a positive, worthwhile impact on society, i aim to empower people to achieve more through ingenious solutions made possible by state-of-the-art technology.  --  ps   i would not have gotten to where i am today without the advice, help, and kindness of people i have encountered along the way. if i can be of any help or if you have a great idea you would like to share"
"ah0076","passionate about data science, engineering and machine learning. computer engineering graduate from uc irvine. i have diverse work experience including database management for an it security company and web scraping,  database design and financial analysis for a financial services company and data pipeline building for an insurtech startup. in addition, i have worked on many projects on the side involving computer vision, nlp and other interests."
"ah0077","in transition from web development to data analytics and business intelligence.  committed to constant learning and expanding my skills, knowledge, and experience to be a better version of myself everyday and make this world a better place. feel free to connect, suggest, and collaborate."
"ah0078","am a data engineer, with an insatiable intellectual curiosity, and the ability to mine hidden gems located within the large set of data. i have hands-on  experience in machine learning, deep learning, and statistics to draw meaning insights from the big dataset. i am good at communication and storytelling with data."
"ah0079","microsoft certified data scientist with capability of translating business problems into research question, designing and conducting analysis, extracting insights that contribute values to business. over 10 years of broad experience in data science, business, project management, engineering, construction and academia.  expertise in implementing advanced supervised and unsupervised machine learning and natural language processing algorithms and employing exploratory data analysis, feature engineering and feature selection, statistical analysis and modelling in clustering, classification, and regression predictive analytics.   solid foundation in  the area of decision modeling and optimization techniques/operations research including linear, integer"
"ah0080","technology is something that has always amazed me and left me clueless.in the search for  answers i fell in love with programming. i freelanczed for startup's and gained experience in developing web applications. simply put i'am a fast learner with a desire to learn more."
"ah0081","enabling one of the largest tech giants with making smarter decisions by leveraging math, business expertise and technology coupled with problem solving skills."
"ah0082","autonomous vehicles enthusiast, prototyper and tinkerer. i love robots, space and building stuff.klintcho, scikit-learn contributor , deep learning researcher , data science , statistical machine learning , reinforcement learning , business intelligence , algorithm optimization , ai in finance"
"ah0083","i am a data scientist/analyst and biomedical informatics phd candidate with specialization in generating insight from data. i have experience developing data-driven analytical strategies that address meaningful problems. skills   data analysis, data visualization, python, machine learning, data mining"
"ah0084","i am a highly detail-oriented, inquisitive and efficient individual. quality and integrity are of utmost importance to me. i am a very passionate about mathematics and its real world applications, i am an enthusiastic learner. i am interested in data sciences and it's applications."
"ah0085","experienced data scientist with a demonstrated history of prototyping and deploying production ready machine learning solutions , experienced data scientist with over 3.5 years of experience in data science. excellent reputation for resolving problems, conducting process improvement projects.skilled in python, statistical data analysis, natural language processing, big data analytics, and data science. a strong business development professional with a bachelor of engineering ,be, focused on computer science and engineering from visvesvaraya technological university."
"ah0086","experienced data scientist with a demonstrated history of working in the computer networking industry. skilled in python, machine learning, nlp, sql, spark, statistical data analysis. strong engineering professional with a b.s. from ucla in applied math and computing and master of science ,m.s., focused in data science from u. of new haven.brantyukan"
"ah0087","currently a data scientist on the instagram home team, marlene has worked on key user-facing product algorithms like news feed, and instagram feed and stories ranking. trained as a behavioral social scientist, she received her phd in political science from nyu in 2017, where she worked on topics like the effects of information disclosure using methods like applied game theory and controlled computerized lab experiments with student subjects.  her professional focus has been on the design and evaluation of ai models as well as the metrics and a/b tests that are optimal to understand their performance."
"ah0088","i am interested in challenging problems that involve software development and algorithms design. currently, i am a data scientist at fico.  skill-sets    nlp and ml techniques     text classification, text summarization, analytics, data engineering, visualization, predictive modelling, decision trees, random forest, bagging, boosting,clustering"
"ah0089","a dedicated professional focused on reaching new heights by constantly improvising skills in the field of data mining, machine learning and statistical analytics. i enjoy problems in these areas, i find them challenging and i like solving them efficiently. having expertise into solving around 10 to 12 predictive analytics problems from real world scenarios at high scale frequency of execution. i intend to gain expertise in cognitive science, computer vision and advanced nlp techniques using deep learning.  data scientist with core experience in building automated solutions, about 6+ years of experience in industrial data science and analytics. passionate about applying technology, ai,ml, design thinking and cognitive science to better understand, predict and improve business functions towards delivering profitable growth.  responsibilities   1. build predictive models, information/decision systems and basic prescriptive models using machine learning and statistical analysis 2. strategizing the model development process at planning stage and implementing it at place to provide the data driven insights through experience, deep theoretical knowledge in ml and time bounded research      -  applying proper feature engineering, defining the right algorithm and modelling approach    -  model development"
"ah0090","i am passionate about working with numbers and working with people, helping organizations capture the signal and sift through the noise. my diverse background and skill set in software development, statistical inference, data wrangling, data visualization and predictive analytics demonstrates that i have the ability to derive meaningful insights from data to drive business decisions.   experienced in several professional team projects for siemens and analytixlabs, including serving as project lead prepares me for leadership, creativity, strategic thinking, analytical and problem-solving skills. i make optimal use of available resources in a result-oriented environment and efficiently embrace new technologies, tools and work environments. my effective communication skills help me quickly adapt to multi-cultural work environments.   my analytics experience has enhanced by engaging in different academic and consulting projects at marshall school of business. i seek to leverage my skills to define, design and develop data driven solutions for challenging business problems.   skills- machine learning   supervised learning ,linear/logistic regression, decision trees"
