"cle","summery"
"ch0063","initial screening of the candidates(to check candidate stability/skills/ willingness to work with us/ eligible to fulfill our co. job requirement).     coordinating with the technical & operational panel   s for interviews.     handling documentation of the candidates.     making attendance/ salary/ leaves/ absenteeism/birthday/ employee master data in excel sheet.     job postings on different portals like (indeed, shine, olx, quikr, fresherworld, linkedin, naukri, indeed, monster etc.)     follow up for day zero and induction.     handling co. admin. part.      conducting employee engagement activities."
"ch0064","14 years of overall experience in the internet industry with specialization in internet application development and deployment.  proven experience in building, leading and managing high performance, cross functional software engineering teams."
"ch0065","i teach my public seminar for data leaders seeking to learn how to create useful, usable, and simple data products that actually get used and produce value. we begin 7/13/20    i help data product leaders turn machine learning and analytics into simple, innovative decision support software   because customers don't use or value technically right, effectively wrong solutions.   if your customers and stakeholders can't or won't use your data-driven software to make decisions, then the technology was just a costly exercise, not an innovation. it doesn't matter whether it's traditional analytics, ml, ai or bi.    do you have an awesome data science or analytics team, but customers don't understand or value the software or models you produce    does your data science solution or data product make customers go                                when they see it   do you wish they viewed it as invaluable decision support that made them feel like                        do you lead the product or solution strategy for analytics apps, decision support solutions, or ai projects and share some of these challenges   * low adoption/user engagement   * customer attrition   * the business mandates ai and machine learning, but can't provide a clear problem for the data team to solve   * you've made significant investments in engineering, analytics, or data science, but your service's value still isn't emerging or obvious to users and stakeholders   * your product doesn't sell itself, requires significant explanation"
"ch0066","experienced human resources executive skilled in research, human resources, english, microsoft excel, and management. strong human resources professional with a master of business administration (m.b.a.) focused in human resources management from guru nanak dev university."
"ch0067","with a 36 year experience in fashion designing, i am an industry trained professional with zeal to create and bring into the market, a fresh variety of indian ethnic wear, in sync with the ongoing market trends and practices in terms of latest trends in patterns, stitching and cuts.  i specialize in stitched and unstitched salwar-kameez with all types of dupattas especially in manual & multi-head embroidery and printing. i am also skilled in all types of dying and handwork.  to add a cherry on top, i have a total experience of 18 years in procurement and purchase of materials.,"
"ch0068","have over 18 years of customer sales and service experience, and use my bilingual skills to help customers find a complete solution.  design many unique spaces to meet and exceed clients    needs and expectations.  create storage and organization solutions, and develop lasting relationships with customers by offering them a way to achieving the promise of an organized life.  building and establishing a rapport with customers and professional organizers by engaging with them and having them leave happily organized, and wanting to come back and tackle their next project.  use whole brained thinking to provide a strategic and creative road map to help customers visualize and implement a solution.  listen for clues, in order to help identify other needs that they might have.   most of all, feeling a great sense of pride and joy in helping others   , contain themselves, through the joy and satisfaction achieved with the promise of an organized life."
"ch0069","experienced founder with a demonstrated history of working in the design industry. skilled in furnishings, autocad, client counseling, commercial design, and modern furniture. strong entrepreneurship professional with a bachelor's degree focused in interior design from jd institute."
"ch0070","i   m a brand and digital designer based in san francisco.   + brand development & rebranding + logo & identity system + brand style guide  + collateral, print & packaging  + environmental design  + iconography + broadcast design + motion design + website design + information architecture + wireframing + "
"ch0071","hello! i'm a transportation designer with a passion for finding captivating and sustainable solutions for the future. currently working in the automotive industry, i'm always eager to expand my knowledge into other design fields - open to freelance, collaborative, and part-time opportunities."
"ch0072","currently working at microsoft as a ux designer, i graduated from human centered design & engineering (hcde) program at the university of washington. skills  interaction design  prototyping  user research  usability testing  html+css  sketch+adobe creative "
"ch0073","designer for experimental products"
"ch0074","splendid 4d is an architectural visualization studio based in los angeles, california with a division studio in beijing, china. our chief digital artists have more than 50 years of combined working experience including lead designers, head architects, and chief engineers on global projects. in addition to traditional 3d rendering services, splendid 4d also offers 4d construction simulation-animation services through bim technology. for our clients, splendid 4d exclusively offers 3d models and rendering materials for 3d models. splendid 4d values every one of our clients and we guarantee to take their project to the next level.  "
"ch0075","passionate about the intimate fashion industry, i wish to expand my skills by working with a dedicated and innovative team of professionals. my goal is to assist in bringing current international fashion trends to the indian market, developing unique styles, that beautiful as well as practical."
"ch0076","an interior designer having 7+ years of experience in designing projects ranging from residential, commercial, retail and hospitality."
"ch0077","experienced owner with a demonstrated history of working in the design industry. skilled in trend analysis, fashion illustration, textiles, knitwear, and draping. strong arts and design professional graduated from fashion institute of technology.  instagram -  nyembroiderystudio,"
